% millis	setpoint	currentmotorspeed	pwm	pwmrestricted
0	200.00	0.00	255.00	255
6	200.00	0.00	255.00	255
12	200.00	0.00	255.00	255
19	200.00	0.00	255.00	255
43	200.00	0.00	255.00	255
70	200.00	0.00	255.00	255
97	200.00	135.76	255.00	255
126	200.00	135.76	54.06	54
154	200.00	135.76	54.06	54
182	200.00	135.76	54.06	54
210	200.00	208.48	54.06	54
238	200.00	208.48	0.00	0
265	200.00	208.48	0.00	0
290	200.00	208.48	0.00	0
316	200.00	189.09	0.00	0
343	200.00	189.09	178.48	178
372	200.00	189.09	178.48	178
403	200.00	173.33	178.48	178
433	200.00	173.33	178.48	178
463	200.00	173.33	219.06	219
493	200.00	204.85	219.06	219
523	200.00	204.85	219.06	219
553	200.00	204.85	219.06	219
583	200.00	204.85	77.44	77
612	200.00	224.24	77.44	77
640	200.00	224.24	77.44	77
668	200.00	224.24	77.44	77
696	200.00	214.55	43.21	43
723	200.00	214.55	43.21	43
752	200.00	214.55	43.21	43
780	200.00	214.55	43.21	43
808	200.00	195.15	181.51	181
838	200.00	195.15	181.51	181
869	200.00	195.15	181.51	181
899	200.00	196.36	181.51	181
929	200.00	196.36	134.37	134
959	200.00	196.36	134.37	134
989	200.00	196.36	134.37	134
1019	200.00	214.55	134.37	134
1050	200.00	214.55	62.86	62
1080	200.00	214.55	62.86	62
1108	200.00	210.91	62.86	62
1138	200.00	210.91	62.86	62
1167	200.00	210.91	98.79	98
1197	200.00	197.58	98.79	98
1225	200.00	197.58	98.79	98
1254	200.00	197.58	98.79	98
1284	200.00	197.58	143.15	143
1314	200.00	192.73	143.15	143
1346	200.00	192.73	143.15	143
1377	200.00	192.73	143.15	143
1409	200.00	202.42	103.91	103
1439	200.00	202.42	103.91	103
1471	200.00	202.42	103.91	103
1502	200.00	207.27	103.91	103
1533	200.00	207.27	90.16	90
1562	200.00	207.27	90.16	90
1591	200.00	207.27	90.16	90
1620	200.00	201.21	90.16	90
1649	200.00	201.21	119.16	119
1681	200.00	201.21	119.16	119
1712	200.00	197.58	119.16	119
1743	200.00	197.58	119.16	119
1774	200.00	197.58	124.35	124
1806	200.00	201.21	124.35	124
1837	200.00	201.21	124.35	124
1868	200.00	201.21	124.35	124
1899	200.00	206.06	84.90	84
1929	200.00	206.06	84.90	84
1957	200.00	206.06	84.90	84
1986	200.00	206.06	84.90	84
2016	200.00	202.42	110.02	110
2046	200.00	202.42	110.02	110
2078	200.00	202.42	110.02	110
2109	200.00	196.36	110.02	110
2141	200.00	196.36	128.35	128
2171	200.00	196.36	128.35	128
2203	200.00	201.21	128.35	128
2234	200.00	201.21	128.35	128
2266	200.00	201.21	100.79	100
2296	200.00	204.85	100.79	100
2328	200.00	204.85	100.79	100
2359	200.00	204.85	100.79	100
2391	200.00	204.85	92.61	92
2419	200.00	203.64	92.61	92
2448	200.00	203.64	92.61	92
2478	200.00	203.64	92.61	92
2506	200.00	197.58	125.90	125
2538	200.00	197.58	125.90	125
2569	200.00	197.58	125.90	125
2600	200.00	198.79	125.90	125
2631	200.00	198.79	110.93	110
2663	200.00	198.79	110.93	110
2694	200.00	203.64	110.93	110
2724	200.00	203.64	110.93	110
2756	200.00	203.64	93.34	93
2785	200.00	203.64	93.34	93
2814	200.00	203.64	93.34	93
2843	200.00	203.64	93.34	93
2873	200.00	203.64	99.03	99
2902	200.00	197.58	99.03	99
2931	200.00	197.58	99.03	99
2960	200.00	197.58	99.03	99
2990	200.00	197.58	122.34	122
3020	200.00	196.36	122.34	122
3051	200.00	196.36	122.34	122
3083	200.00	196.36	122.34	122
3113	200.00	200.00	104.22	104
3145	200.00	200.00	104.22	104
3176	200.00	200.00	104.22	104
3208	200.00	202.42	104.22	104
3238	200.00	202.42	97.91	97
3268	200.00	202.42	97.91	97
3297	200.00	200.00	97.91	97
3326	200.00	200.00	97.91	97
3355	200.00	200.00	110.48	110
3386	200.00	200.00	110.48	110
3418	200.00	198.79	110.48	110
3448	200.00	198.79	110.48	110
3480	200.00	198.79	111.78	111
3511	200.00	198.79	111.78	111
3543	200.00	198.79	111.78	111
3573	200.00	198.79	111.78	111
3605	200.00	201.21	100.49	100
3636	200.00	201.21	100.49	100
3667	200.00	201.21	100.49	100
3698	200.00	200.00	100.49	100
3730	200.00	200.00	108.63	108
3761	200.00	200.00	108.63	108
3792	200.00	198.79	108.63	108
3823	200.00	198.79	108.63	108
3855	200.00	198.79	111.78	111
3886	200.00	198.79	111.78	111
3916	200.00	200.00	111.78	111
3948	200.00	200.00	111.78	111
3979	200.00	200.00	105.50	105
4011	200.00	201.21	105.50	105
4041	200.00	201.21	105.50	105
4073	200.00	201.21	105.50	105
4104	200.00	200.00	107.35	107
4135	200.00	200.00	107.35	107
4166	200.00	200.00	107.35	107
4198	200.00	201.21	107.35	107
4229	200.00	201.21	102.34	102
4260	200.00	201.21	102.34	102
4291	200.00	201.21	102.34	102
4322	200.00	198.79	102.34	102
4354	200.00	198.79	113.63	113
4384	200.00	198.79	113.63	113
4416	200.00	198.79	113.63	113
4447	200.00	198.79	113.63	113
4478	200.00	198.79	110.50	110
4509	200.00	201.21	110.50	110
4541	200.00	201.21	110.50	110
4572	200.00	201.21	110.50	110
4603	200.00	202.42	96.06	96
4632	200.00	202.42	96.06	96
4662	200.00	202.42	96.06	96
4690	200.00	202.42	96.06	96
4720	200.00	198.79	115.48	115
4751	200.00	198.79	115.48	115
4782	200.00	198.79	115.48	115
4813	200.00	198.79	115.48	115
4844	200.00	198.79	110.50	110
4876	200.00	198.79	110.50	110
4907	200.00	202.42	110.50	110
4938	200.00	202.42	110.50	110
4969	200.00	202.42	96.06	96
4999	200.00	201.21	96.06	96
5027	200.00	201.21	96.06	96
5057	200.00	201.21	96.06	96
5086	200.00	201.21	105.47	105
5116	200.00	198.79	105.47	105
5148	200.00	198.79	105.47	105
5179	200.00	198.79	105.47	105
5211	200.00	197.58	118.07	118
5241	200.00	197.58	118.07	118
5273	200.00	197.58	118.07	118
5304	200.00	200.00	118.07	118
5336	200.00	200.00	103.65	103
5366	200.00	200.00	103.65	103
5398	200.00	202.42	103.65	103
5429	200.00	202.42	103.65	103
5460	200.00	202.42	97.34	97
5489	200.00	202.42	97.34	97
5518	200.00	201.21	97.34	97
5548	200.00	201.21	97.34	97
5576	200.00	201.21	104.90	104
5608	200.00	197.58	104.90	104
5639	200.00	197.58	104.90	104
5670	200.00	197.58	104.90	104
5701	200.00	197.58	117.49	117
5733	200.00	197.58	117.49	117
5764	200.00	197.58	117.49	117
5795	200.00	200.00	117.49	117
5826	200.00	200.00	103.07	103
5858	200.00	200.00	103.07	103
5889	200.00	200.00	103.07	103
5919	200.00	201.21	103.07	103
5951	200.00	201.21	101.77	101
5982	200.00	201.21	101.77	101
6013	200.00	200.00	101.77	101
6044	200.00	200.00	101.77	101
6076	200.00	200.00	108.06	108
6107	200.00	198.79	108.06	108
6138	200.00	198.79	108.06	108
6169	200.00	198.79	108.06	108
6201	200.00	198.79	111.21	111
6232	200.00	198.79	111.21	111
6263	200.00	198.79	111.21	111
6294	200.00	200.00	111.21	111
6326	200.00	200.00	104.93	104
6356	200.00	200.00	104.93	104
6388	200.00	200.00	104.93	104
6419	200.00	201.21	104.93	104
6451	200.00	201.21	101.77	101
6481	200.00	201.21	101.77	101
6512	200.00	200.00	101.77	101
6544	200.00	200.00	101.77	101
6575	200.00	200.00	108.06	108
6606	200.00	197.58	108.06	108
6637	200.00	197.58	108.06	108
6669	200.00	197.58	108.06	108
6700	200.00	198.79	111.21	111
6731	200.00	198.79	111.21	111
6762	200.00	198.79	111.21	111
6794	200.00	200.00	111.21	111
6824	200.00	200.00	104.93	104
6856	200.00	200.00	104.93	104
6887	200.00	200.00	104.93	104
6918	200.00	201.21	104.93	104
